ID,timestamp,logical_time,level,event
43815,2016-04-07 09:15:17,00:20:18,5,Correct flag submited
43841,2016-04-07 09:16:04,00:06:06,6,Hint 1 taken
16046,2016-04-07 09:18:45,00:45:12,6,Correct flag submited
16046,2016-04-07 09:18:47,00:45:14,6,Game finished
43815,2016-04-07 09:18:49,00:03:31,6,Hint 1 taken
15360,2016-04-07 09:24:57,00:11:19,6,Hint 2 taken
43841,2016-04-07 09:24:58,00:15:00,6,Hint 2 taken
15360,2016-04-07 09:27:15,01:06:57,6,Correct flag submited
15360,2016-04-07 09:27:34,01:07:16,6,Game finished
43841,2016-04-07 09:29:09,00:19:11,6,Game exited prematurely
43815,2016-04-07 09:29:11,00:13:53,6,Game exited prematurely
45868,2016-04-13 14:30:31,00:00:00,1,Game started
45868,2016-04-13 14:34:23,00:03:51,1,Correct flag submited
45674,2016-04-13 14:38:10,00:00:00,1,Game started
45601,2016-04-13 14:39:46,00:00:00,1,Game started
45453,2016-04-13 14:39:50,00:00:00,1,Game started
45430,2016-04-13 14:39:53,00:00:00,1,Game started
45476,2016-04-13 14:40:20,00:00:00,1,Game started
45407,2016-04-13 14:40:21,00:00:00,1,Game started
45699,2016-04-13 14:40:51,00:00:00,1,Game started
45601,2016-04-13 14:40:51,00:01:05,1,Wrong flag submited:72eb
45820,2016-04-13 14:40:54,00:00:00,1,Game started
45476,2016-04-13 14:41:42,00:01:21,1,Wrong flag submited:d940
45476,2016-04-13 14:42:57,00:02:37,1,Correct flag submited
45699,2016-04-13 14:43:14,00:02:23,1,Wrong flag submited:c2df
45699,2016-04-13 14:44:40,00:03:49,1,Wrong flag submited:74DF
45699,2016-04-13 14:44:52,00:04:01,1,Correct flag submited
45820,2016-04-13 14:45:03,00:04:08,1,Hint 1 taken
45601,2016-04-13 14:45:22,00:05:35,1,Wrong flag submited:fe35
45430,2016-04-13 14:45:39,00:05:45,1,Wrong flag submited:4769
45430,2016-04-13 14:46:05,00:06:11,1,Wrong flag submited:cd2f
45699,2016-04-13 14:46:15,00:01:22,2,Correct flag submited
45430,2016-04-13 14:47:29,00:07:36,1,Wrong flag submited:c2df
45430,2016-04-13 14:48:42,00:08:48,1,Correct flag submited
45868,2016-04-13 14:48:46,00:14:22,2,Wrong flag submited:5c29
45407,2016-04-13 14:50:04,00:09:43,1,Wrong flag submited:d940
45868,2016-04-13 14:50:16,00:15:52,2,Correct flag submited
45430,2016-04-13 14:51:54,00:03:11,2,Hint 1 taken
45476,2016-04-13 14:51:58,00:09:00,2,Wrong flag submited:64a4
45601,2016-04-13 14:52:26,00:12:40,1,Correct flag submited
45453,2016-04-13 14:52:46,00:12:56,1,Wrong flag submited:175f
45407,2016-04-13 14:54:03,00:13:41,1,Wrong flag submited:ba78
45453,2016-04-13 14:54:41,00:14:51,1,Wrong flag submited:52ea
45476,2016-04-13 14:54:57,00:12:00,2,Wrong flag submited:d664
45820,2016-04-13 14:55:05,00:14:10,1,Wrong flag submited:351f
45476,2016-04-13 14:55:48,00:12:51,2,Correct flag submited
45407,2016-04-13 14:56:26,00:16:04,1,Wrong flag submited:d277
45430,2016-04-13 14:56:49,00:08:07,2,Correct flag submited
45699,2016-04-13 14:57:22,00:11:07,3,Correct flag submited
45820,2016-04-13 14:58:37,00:17:42,1,Wrong flag submited:c2df
45674,2016-04-13 14:59:15,00:21:05,1,Correct flag submited
45820,2016-04-13 15:00:18,00:19:23,1,Wrong flag submited:c2df
45453,2016-04-13 15:00:45,00:20:55,1,Correct flag submited
45601,2016-04-13 15:01:43,00:09:17,2,Hint 1 taken
45601,2016-04-13 15:02:14,00:09:47,2,Hint 2 taken
45601,2016-04-13 15:02:18,00:09:51,2,Help level accessed
45476,2016-04-13 15:02:45,00:06:57,3,Correct flag submited
45407,2016-04-13 15:03:44,00:23:22,1,Correct flag submited
45476,2016-04-13 15:04:40,00:01:54,4,Wrong flag submited:693e
45476,2016-04-13 15:05:16,00:02:30,4,Wrong flag submited:693e
45820,2016-04-13 15:05:26,00:24:31,1,Correct flag submited
45820,2016-04-13 15:06:34,00:01:08,2,Hint 1 taken
45868,2016-04-13 15:07:48,00:17:32,3,Correct flag submited
45476,2016-04-13 15:08:10,00:05:24,4,Wrong flag submited:cd4b
45820,2016-04-13 15:08:51,00:03:24,2,Hint 2 taken
45407,2016-04-13 15:10:05,00:06:21,2,Wrong flag submited:ae0f
45601,2016-04-13 15:10:27,00:18:01,2,Returned from help level
45601,2016-04-13 15:10:36,00:18:09,2,Correct flag submited
45407,2016-04-13 15:10:59,00:07:15,2,Hint 2 taken
45430,2016-04-13 15:12:49,00:15:59,3,Hint 1 taken
45430,2016-04-13 15:12:56,00:16:06,3,Hint 3 taken
45868,2016-04-13 15:14:04,00:06:15,4,Wrong flag submited:693e
45453,2016-04-13 15:14:56,00:14:10,2,Correct flag submited
45820,2016-04-13 15:15:08,00:09:42,2,Correct flag submited
45430,2016-04-13 15:16:36,00:19:46,3,Wrong flag submited:9098
45430,2016-04-13 15:18:03,00:21:13,3,Correct flag submited
